Species Name,Formula,Image,¦¤fH¡ã(0K),delta_H(298.15K),Uncertainty,Units,Molecular ,,(Molecular,mass)
,,,,,,,0.00033,,,
Oxadiazirine anion,[O(NN)]- (g),,95.1,95.5,¡À 2.9,kJ/mol,44.01343 ¡À,,44.01343 ¡À,0.00033
,,,,,,,0.00033,,,
Glyoxal,"(CHO)2 (g, cis)",,-188.52,-193.96,¡À 0.69,kJ/mol,58.0361 ¡À,,58.0361 ¡À,0.0017
,,,,,,,0.0017,,,
Glyoxal,(CHO)2 (g),,-206.91,-212.47,¡À 0.52,kJ/mol,58.0361 ¡À,,58.0361 ¡À,0.0017
,,,,,,,0.0017,,,
Dimethylaminylium,[(CH3)2N]+ (g),,1040,1024.6,¡À 1.8,kJ/mol,44.0752 ¡À,,44.0752 ¡À,0.0017
,,,,,,,0.0017,,,
Diisocyanogen,CNNC (g),,610.7,613,¡À 1.7,kJ/mol,52.0349 ¡À,,52.0349 ¡À,0.0016
,,,,,,,0.0016,,,
Methylimidogen,CH3N (g),,323.1,315.4,¡À 1.7,kJ/mol,29.04126 ¡À,,29.04126 ¡À,0.00083
,,,,,,,0.00083,,,
Fluoroniumyl ion,[HF]+ (g),,1275.558,1275.79,¡À 0.050,kJ/mol,20.005795 ¡À,,20.005795 ¡À,0.00007
,,,,,,,0.00007,,,
Dichloromethylene,"CCl2 (g, triplet)",,313.62,314.82,¡À 0.90,kJ/mol,82.9161 ¡À,,82.9161 ¡À,0.002
,,,,,,,0.002,,,
Dihydrooxooxygen cation,[(H2O)O]+ (g),,995,988.3,¡À 1.6,kJ/mol,34.01413 ¡À,,34.01413 ¡À,0.00062
,,,,,,,0.00062,,,
Chloromethyliumyl,[CHCl]+ (g),,1207.4,1207.6,¡À 2.0,kJ/mol,48.4708 ¡À,,48.4708 ¡À,0.0012
,,,,,,,0.0012,,,
Chloromethylene anion,[CHCl]- (g),,203.44,204.25,¡À 0.94,kJ/mol,48.4719 ¡À,,48.4719 ¡À,0.0012
,,,,,,,0.0012,,,
Trioxodinitrate anion,"[ONN(O)O]- (g, vdW)",,-104.3,-107.5,¡À 1.9,kJ/mol,76.01223 ¡À,,76.01223 ¡À,0.00091
,,,,,,,0.00091,,,
Chlorohydroxymethyl,"CH(Cl)OH (g, anti-gauche)",,-46.2,-51.8,¡À 2.0,kJ/mol,65.4787 ¡À,,65.4787 ¡À,0.0012
,,,,,,,0.0012,,,
Hydrofluorate ion,[HF]- (g),,-75.6,-75.1,¡À 1.8,kJ/mol,20.006892 ¡À,,20.006892 ¡À,0.00007
,,,,,,,0.00007,,,
"1,1,2-Trichloroethane",CH2ClCHCl2 (l),,,-188.6,¡À 1.4,kJ/mol,133.4033 ¡À,,133.4033 ¡À,0.0031
,,,,,,,0.0031,,,
"1,1,1,2-Tetrachloroethane","CH2ClCCl3 (cr,l)",,,-193.5,¡À 1.1,kJ/mol,167.8481 ¡À,,167.8481 ¡À,0.0039
,,,,,,,0.0039,,,
Ethynylene cation,[C2]+ (g),,1965.19,1971.78,¡À 0.50,kJ/mol,24.0209 ¡À,,24.0209 ¡À,0.0016
,,,,,,,0.0016,,,
Hexachloroethane,"CCl3CCl3 (cr,l)",,,-216.5,¡À 2.8,kJ/mol,236.7376 ¡À,,236.7376 ¡À,0.0056
,,,,,,,0.0056,,,
Diazenide,"[NNH]- (g, triplet)",,347.5,344.6,¡À 1.6,kJ/mol,29.02197 ¡À,,29.02197 ¡À,0.00016
,,,,,,,0.00016,,,
Trioxidanyl,"HOOO (g, cis)",,26.3,23.02,¡À 0.19,kJ/mol,49.00614 ¡À,,49.00614 ¡À,0.0009
,,,,,,,0.0009,,,
"trans-1,2-Dichloroethene","CHClCHCl (g, trans)",,5.28,-0.14,¡À 0.54,kJ/mol,96.9427 ¡À,,96.9427 ¡À,0.0024
,,,,,,,0.0024,,,
Trioxidaniumyl,"[HOOOH]+ (g, c, t)",,935.2,926.1,¡À 1.6,kJ/mol,50.01353 ¡À,,50.01353 ¡À,0.00091
,,,,,,,0.00091,,,
Iminomethyl anion,"[HCNH]- (g, cis)",,252.6,248.9,¡À 1.8,kJ/mol,28.03387 ¡À,,28.03387 ¡À,0.00082
,,,,,,,0.00082,,,
Nitrous acid,HONO (g),,-73.005,-78.662,¡À 0.079,kJ/mol,47.01348 ¡À,,47.01348 ¡À,0.00061
,,,,,,,0.00061,,,
Hydrogen cyanide cation,[HCN]+ (g),,1442.52,1442.05,¡À 0.20,kJ/mol,27.02483 ¡À,,27.02483 ¡À,0.00081
,,,,,,,0.00081,,,
Fluorochlorobromomethane,CHFClBr (g),,-219.3,-231.7,¡À 5.5,kJ/mol,147.3737 ¡À,,147.3737 ¡À,0.0016
,,,,,,,0.0016,,,
Hydroxylamine,"NH2OH (g, cis)",,-15.5,-26,¡À 1.4,kJ/mol,33.02996 ¡À,,33.02996 ¡À,0.00037
,,,,,,,0.00037,,,
Fluoromethyliumyl,[CHF]+ (g),,1116.6,1116.9,¡À 1.7,kJ/mol,32.01649 ¡À,,32.01649 ¡À,0.0008
,,,,,,,0.0008,,,
Fluoromethylene anion,[CHF]- (g),,95.92,96.45,¡À 0.61,kJ/mol,32.01759 ¡À,,32.01759 ¡À,0.0008
,,,,,,,0.0008,,,
Chlorine oxide peroxide,"OClOO (g, vdW)",,226.5,227.4,¡À 2.5,kJ/mol,83.4509 ¡À,,83.4509 ¡À,0.0013
,,,,,,,0.0013,,,
Hydroxylamine cation,[NH2OH]+ (g),,857.6,847.8,¡À 1.6,kJ/mol,33.02941 ¡À,,33.02941 ¡À,0.00037
,,,,,,,0.00037,,,
Polytetrafluoroethylene,CF2CF2 (s),,,-829.56,¡À 0.58,kJ/mol,100.0150 ¡À,,100.0150 ¡À,0.0016
,,,,,,,0.0016,,,
Bifluoride,[FHF]- (g),,-705.22,-709.07,¡À 0.36,kJ/mol,39.005295 ¡À,,39.005295 ¡À,0.00007
,,,,,,,0.00007,,,
"trans-1,2-Difluoroethene","CHFCHF (g, trans)",,-299.75,-306.18,¡À 0.98,kJ/mol,64.0341 ¡À,,64.0341 ¡À,0.0016
,,,,,,,0.0016,,,
Formyl fluoride cation,[CHFO]+ (g),,816.6,813.3,¡À 1.3,kJ/mol,48.01589 ¡À,,48.01589 ¡À,0.00086
,,,,,,,0.00086,,,
Formyl fluoride,[FCO]- (g),,-405.1,-403.7,¡À 1.6,kJ/mol,47.00905 ¡À,,47.00905 ¡À,0.00085
,,,,,,,0.00085,,,
Fluoroisoformyl cation,[COF]+ (g),,1347.4,1349.5,¡À 1.9,kJ/mol,47.00795 ¡À,,47.00795 ¡À,0.00085
,,,,,,,0.00085,,,
Hydrogen peroxide cation,"[H2O2]+ (g, cis)",,931.41,924.55,¡À 0.94,kJ/mol,34.01413 ¡À,,34.01413 ¡À,0.00062
,,,,,,,0.00062,,,
o-Benzyne cation,[C6H4]+ (g),,1393.8,1385.8,¡À 1.7,kJ/mol,76.0954 ¡À,,76.0954 ¡À,0.0048
,,,,,,,0.0048,,,
Nitrogen hydride oxide,NH3O (g),,71.1,59.9,¡À 1.5,kJ/mol,33.02996 ¡À,,33.02996 ¡À,0.00037
,,,,,,,0.00037,,,
m-Benzyne cation,[C6H4]+ (g),,1365.5,1357,¡À 1.9,kJ/mol,76.0954 ¡À,,76.0954 ¡À,0.0048
,,,,,,,0.0048,,,
Aminooxy cation,[NH2O]+ (g),,946.05,938.92,¡À 0.80,kJ/mol,32.02147 ¡À,,32.02147 ¡À,0.00034
,,,,,,,0.00034,,,
p-Benzyne,"C6H4 (g, triplet)",,603.5,594.1,¡À 1.2,kJ/mol,76.0960 ¡À,,76.0960 ¡À,0.0048
,,,,,,,0.0048,,,
1-Chloro ozone anion,"[ClOOO]- (g, perp)",,-108.9,-111.4,¡À 2.2,kJ/mol,83.4514 ¡À,,83.4514 ¡À,0.0013
,,,,,,,0.0013,,,
Benzylium,[C6H5CH2]+ (g),,929.34,909.84,¡À 0.61,kJ/mol,91.1299 ¡À,,91.1299 ¡À,0.0056
,,,,,,,0.0056,,,
"1,3-Cycloheptadiene","CH2(CHCHCHCHCH2CH2) (g, c-c)",,123.24,94.13,¡À 0.78,kJ/mol,94.1543 ¡À,,94.1543 ¡À,0.0056
,,,,,,,0.0056,,,
Tropylium,[CH(CHCHCHCHCHCH)]+ (g),,897.9,878.1,¡À 1.1,kJ/mol,91.1299 ¡À,,91.1299 ¡À,0.0056
,,,,,,,0.0056,,,
Trioxidanylium,"[HOOO]+ (g, cis)",,1085.3,1079.1,¡À 1.5,kJ/mol,49.00559 ¡À,,49.00559 ¡À,0.0009
,,,,,,,0.0009,,,
Fluorosyl fluoride anion,"[FFO]- (g, doublet)",,-147.2,-146.9,¡À 3.0,kJ/mol,53.99675 ¡À,,53.99675 ¡À,0.0003
,,,,,,,0.0003,,,
"1,3-Butadiyne-1,4-diyl",CCCC (g),,1052.47,1062.45,¡À 0.68,kJ/mol,48.0428 ¡À,,48.0428 ¡À,0.0032
,,,,,,,0.0032,,,
Acetone enol,"CH3C(OH)CH2 (g, anti)",,-147.2,-164.4,¡À 1.3,kJ/mol,58.0791 ¡À,,58.0791 ¡À,0.0025
,,,,,,,0.0025,,,
Perchlorate,[OCl(O)(O)O]- (g),,-263.2,-272.1,¡À 2.2,kJ/mol,99.4508 ¡À,,99.4508 ¡À,0.0015
,,,,,,,0.0015,,,
1-Chloro ozone anion,"[ClOOO]- (g, cis)",,-66.8,-68.7,¡À 2.1,kJ/mol,83.4514 ¡À,,83.4514 ¡À,0.0013
,,,,,,,0.0013,,,
"cis-1,2-Dibromoethene","CHBrCHBr (g, cis)",,120.9,100.4,¡À 2.1,kJ/mol,185.8453 ¡À,,185.8453 ¡À,0.0026
,,,,,,,0.0026,,,
Cyanomethanide,[CH2CN]- (g),,114.1,111.2,¡À 1.1,kJ/mol,40.0446 ¡À,,40.0446 ¡À,0.0016
,,,,,,,0.0016,,,
"1,1-Dibromoethane",CH3CHBr2 (g),,-5.4,-32.4,¡À 1.8,kJ/mol,187.8612 ¡À,,187.8612 ¡À,0.0026
,,,,,,,0.0026,,,
Krypton hydride cation,[KrH]+ (g),,1106.33,1104.55,¡À 0.69,kJ/mol,84.8074 ¡À,,84.8074 ¡À,0.1
,,,,,,,0.1,,,
Cycloprop-2-enylium,[CH(CHCH)]+ (g),,1080.6,1075.5,¡À 1.4,kJ/mol,39.0554 ¡À,,39.0554 ¡À,0.0024
,,,,,,,0.0024,,,
2-Propenylidyne anion,[CH2CHC]- (g),,464.5,460.7,¡À 1.8,kJ/mol,39.0565 ¡À,,39.0565 ¡À,0.0024
,,,,,,,0.0024,,,
2-Propen-3-yliumylidene,[CHCHCH]+ (g),,1494.7,1491.7,¡À 1.7,kJ/mol,39.0554 ¡À,,39.0554 ¡À,0.0024
,,,,,,,0.0024,,,
2-Propenylidene anion,[CHCHCH]- (g),,536,532.6,¡À 1.8,kJ/mol,39.0565 ¡À,,39.0565 ¡À,0.0024
,,,,,,,0.0024,,,
Hypochlorous acid anion,[HOCl]- (g),,198.7,198.4,¡À 2.5,kJ/mol,52.46059 ¡À,,52.46059 ¡À,0.00095
,,,,,,,0.00095,,,
Tribromine,Br3 (g),,155.9,134.2,¡À 3.2,kJ/mol,239.7120 ¡À,,239.7120 ¡À,0.003
,,,,,,,0.003,,,
Propynylidene,HCCCH (g),,543.41,546.4,¡À 0.64,kJ/mol,38.0480 ¡À,,38.0480 ¡À,0.0024
,,,,,,,0.0024,,,
"1-Cyclopropene-1,2-diyl",CH2(CC) (g),,791.1,790.6,¡À 1.5,kJ/mol,38.0480 ¡À,,38.0480 ¡À,0.0024
,,,,,,,0.0024,,,
Methanol anion,[CH3OH]- (g),,-89.1,-99.8,¡À 2.8,kJ/mol,32.04241 ¡À,,32.04241 ¡À,0.0009
,,,,,,,0.0009,,,
Cyclopropenyliumdiyl,[CH(CC)]+ (g),,1692.1,1695,¡À 1.9,kJ/mol,37.0395 ¡À,,37.0395 ¡À,0.0024
,,,,,,,0.0024,,,
Cyclopropynyl anion,[CH(CC)]- (g),,518,521,¡À 1.1,kJ/mol,37.0406 ¡À,,37.0406 ¡À,0.0024
,,,,,,,0.0024,,,
Bromine atom,"Br (g, 2P3/2)",,117.914,111.851,¡À 0.056,kJ/mol,79.90400 ¡À,,79.90400 ¡À,0.001
,,,,,,,0.001,,,
Nitrate,[ON(O)O]- (aq),,,-206.64,¡À 0.18,kJ/mol,62.00549 ¡À,,62.00549 ¡À,0.0009
,,,,,,,0.0009,,,
Ethylene anion,"[CH2CH2]- (g, syn ?)",,231.6,225.5,¡À 2.0,kJ/mol,28.0537 ¡À,,28.0537 ¡À,0.0016
,,,,,,,0.0016,,,
Trifluorine cation,[F3]+ (g),,1529.5,1527.4,¡À 2.3,kJ/mol,56.9946610 ¡À,,56.9946610 ¡À,0.0000015
,,,,,,,0.0000015,,,
Tribromide,[Br3]- (g),,-287.4,-308.4,¡À 1.9,kJ/mol,239.7125 ¡À,,239.7125 ¡À,0.003
,,,,,,,0.003,,,
Cyclopentene,CH2(CH2CHCHCH2) (l),,,4.38,¡À 0.42,kJ/mol,68.1170 ¡À,,68.1170 ¡À,0.004
,,,,,,,0.004,,,
n-Hexane,"CH3CH2CH2CH2CH2CH3 (cr,l)",,-179.98,-198.64,¡À 0.34,kJ/mol,86.1754 ¡À,,86.1754 ¡À,0.0049
,,,,,,,0.0049,,,
Chlorine difluoride anion,[ClFF]- (g),,-319,-319.1,¡À 2.2,kJ/mol,73.45005 ¡À,,73.45005 ¡À,0.0009
,,,,,,,0.0009,,,
1-Ethylium-1-yl,[CH3CH]+ (g),,1182.1,1174.8,¡À 3.2,kJ/mol,28.0526 ¡À,,28.0526 ¡À,0.0016
,,,,,,,0.0016,,,
Ethylidene anion,[CH3CH]- (g),,325.8,318.5,¡À 1.9,kJ/mol,28.0537 ¡À,,28.0537 ¡À,0.0016
,,,,,,,0.0016,,,
1-Hydroxyethanide,[CH3CHOH]- (g),,-20,-33.4,¡À 2.9,kJ/mol,45.0610 ¡À,,45.0610 ¡À,0.0017
,,,,,,,0.0017,,,
Ozone cation,[OOO]+ (g),,1352.87,1350.531,¡À 0.041,kJ/mol,47.99765 ¡À,,47.99765 ¡À,0.0009
,,,,,,,0.0009,,,
Chlorosyl chloride cation,[ClClO]+ (g),,1132.6,1130.8,¡À 2.0,kJ/mol,86.9043 ¡À,,86.9043 ¡À,0.0018
,,,,,,,0.0018,,,
Formaldehyde anion,[CH2O]- (g),,-26.7,-28.3,¡À 2.0,kJ/mol,30.02653 ¡À,,30.02653 ¡À,0.00087
,,,,,,,0.00087,,,
Hydrogen fluoride,"HF (aq, 55.51 H2O)",,,-321.16,¡À 0.16,kJ/mol,20.006343 ¡À,,20.006343 ¡À,0.00007
,,,,,,,0.00007,,,
Hydroxyimidogen anion,[NOH]- (g),,229.9,227.4,¡À 2.3,kJ/mol,31.01463 ¡À,,31.01463 ¡À,0.00032
,,,,,,,0.00032,,,
Chlorosyl chloride anion,[ClClO]- (g),,-185.4,-184.7,¡À 2.3,kJ/mol,86.9053 ¡À,,86.9053 ¡À,0.0018
,,,,,,,0.0018,,,
Acetaldehyde anion,[CH3CHO]- (g),,-62,-72.2,¡À 2.1,kJ/mol,44.0531 ¡À,,44.0531 ¡À,0.0017
,,,,,,,0.0017,,,
Diazenium,[NH2NH]+ (g),,968.59,957.33,¡À 0.77,kJ/mol,31.03675 ¡À,,31.03675 ¡À,0.00025
,,,,,,,0.00025,,,
Formaldehyde,"CH2O (g, triplet)",,196.011,192.681,¡À 0.098,kJ/mol,30.02598 ¡À,,30.02598 ¡À,0.00087
,,,,,,,0.00087,,,
Ketene cation,[CH2CO]+ (g),,882.23,879.06,¡À 0.12,kJ/mol,42.0361 ¡À,,42.0361 ¡À,0.0016
,,,,,,,0.0016,,,
Ketene anion,[CH2CO]- (g),,-16,-19.1,¡À 2.2,kJ/mol,42.0372 ¡À,,42.0372 ¡À,0.0016
,,,,,,,0.0016,,,
Chloryl ion,[OClO]+ (g),,1100.15,1097.49,¡À 0.52,kJ/mol,67.4510 ¡À,,67.4510 ¡À,0.0011
,,,,,,,0.0011,,,
Oxoethenylium,[HCCO]+ (g),,1139.7,1142.5,¡À 2.2,kJ/mol,41.0282 ¡À,,41.0282 ¡À,0.0016
,,,,,,,0.0016,,,
Hydrogen bromide,"HBr (aq, 2000 H2O)",,,-120.67,¡À 0.15,kJ/mol,80.9119 ¡À,,80.9119 ¡À,0.001
,,,,,,,0.001,,,
Hydroperoxyimidogen,"HOON (g, trans)",,103.3,99.8,¡À 2.4,kJ/mol,47.01348 ¡À,,47.01348 ¡À,0.00061
,,,,,,,0.00061,,,
Dioxygen,"O2 (g, triplet)",,0,0,¡À 0.000,kJ/mol,31.99880 ¡À,,31.99880 ¡À,0.0006
,,,,,,,0.0006,,,
Tetranitrogen cation,[NNNN]+ (g),,1392.8,1392.5,¡À 1.5,kJ/mol,56.02641 ¡À,,56.02641 ¡À,0.00028
,,,,,,,0.00028,,,
Oxiranylidene,"CH2(CO) (g, triplet)",,456.2,452.1,¡À 2.2,kJ/mol,42.0367 ¡À,,42.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Oxiranylidene cation,[CH2(CO)]+ (g),,1165.4,1161.9,¡À 2.5,kJ/mol,42.0361 ¡À,,42.0361 ¡À,0.0016
,,,,,,,0.0016,,,
Oxiranylidene anion,[CH2(CO)]- (g),,236.4,232.4,¡À 2.3,kJ/mol,42.0372 ¡À,,42.0372 ¡À,0.0016
,,,,,,,0.0016,,,
Hydrogen chloride,"HCl (aq, 2439 H2O)",,,-166.712,¡À 0.024,kJ/mol,36.46064 ¡À,,36.46064 ¡À,0.0009
,,,,,,,0.0009,,,
Methyl hydroperoxide cation,[CH3OOH]+ (g),,833.4,820.2,¡À 2.2,kJ/mol,48.0407 ¡À,,48.0407 ¡À,0.001
,,,,,,,0.001,,,
Methoxyoxoniumylidene,[CH3OO]+ (g),,1012.8,1004.6,¡À 2.0,kJ/mol,47.0328 ¡À,,47.0328 ¡À,0.001
,,,,,,,0.001,,,
Acetylene anion,"[HCCH]- (g, cis ?)",,380.1,380.3,¡À 1.9,kJ/mol,26.0378 ¡À,,26.0378 ¡À,0.0016
,,,,,,,0.0016,,,
Trioxidanylium,[HOOO]+ (g),,1070.6,1064.3,¡À 1.4,kJ/mol,49.00559 ¡À,,49.00559 ¡À,0.0009
,,,,,,,0.0009,,,
Dioxirane anion,[CH2(OO)]- (g),,-170.4,-177.2,¡À 3.9,kJ/mol,46.0259 ¡À,,46.0259 ¡À,0.001
,,,,,,,0.001,,,
Dioxymethyl anion,[CH2OO]- (g),,54.9,49.8,¡À 1.4,kJ/mol,46.0259 ¡À,,46.0259 ¡À,0.001
,,,,,,,0.001,,,
Hydrogen difluoride cation,"[FFH]+ (g, singlet)",,1174.3,1171.3,¡À 1.5,kJ/mol,39.004198 ¡À,,39.004198 ¡À,0.00007
,,,,,,,0.00007,,,
Hydrogen chloride,"HCl (aq, 140 H2O)",,,-165.946,¡À 0.026,kJ/mol,36.46064 ¡À,,36.46064 ¡À,0.0009
,,,,,,,0.0009,,,
Carbon atom,"C (g, triplet)",,711.399,716.884,¡À 0.047,kJ/mol,12.01070 ¡À,,12.01070 ¡À,0.0008
,,,,,,,0.0008,,,
Carbon atom,"C (g, singlet)",,833.33,838.477,¡À 0.047,kJ/mol,12.01070 ¡À,,12.01070 ¡À,0.0008
,,,,,,,0.0008,,,
Deuterium hydride cation,[HD]+ (g),,1490.498,1490.587,¡À 0.000,kJ/mol,3.021493 ¡À,,3.021493 ¡À,0.00007
,,,,,,,0.00007,,,
Imidogen anion,[NH]- (g),,322.63,322.68,¡À 0.17,kJ/mol,15.015229 ¡À,,15.015229 ¡À,0.000099
,,,,,,,0.000099,,,
H-CO2 vdW complex,"(H)(OCO) (g, vdW)",,-178.3,-177.5,¡À 2.1,kJ/mol,45.0174 ¡À,,45.0174 ¡À,0.001
,,,,,,,0.001,,,
2-Chloro ozone anion,[ClO(O)O]- (g),,-103.4,-105.6,¡À 3.2,kJ/mol,83.4514 ¡À,,83.4514 ¡À,0.0013
,,,,,,,0.0013,,,
2-Propanol,"CH3CH(OH)CH3 (cr,l)",,-306.25,-319.06,¡À 0.38,kJ/mol,60.0950 ¡À,,60.0950 ¡À,0.0025
,,,,,,,0.0025,,,
1-Propanol,"CH3CH2CH2OH (cr,l)",,-290.54,-302.72,¡À 0.24,kJ/mol,60.0950 ¡À,,60.0950 ¡À,0.0025
,,,,,,,0.0025,,,
Ammonium radical,NH4 (g),,190.01,179.43,¡À 0.43,kJ/mol,18.03850 ¡À,,18.03850 ¡À,0.00029
,,,,,,,0.00029,,,
Methylammoniumyl,[CH3NH2]+ (g),,865.42,851.48,¡À 0.33,kJ/mol,31.05659 ¡À,,31.05659 ¡À,0.00088
,,,,,,,0.00088,,,
Methylamine anion,[CH3NH2]- (g),,83.9,69,¡À 2.8,kJ/mol,31.05769 ¡À,,31.05769 ¡À,0.00088
,,,,,,,0.00088,,,
Hydrooxonitrate,[HNO]- (g),,78.6,75.68,¡À 0.99,kJ/mol,31.01463 ¡À,,31.01463 ¡À,0.00032
,,,,,,,0.00032,,,
Cyanogen bromide anion,[BrCN]- (g),,57.9,54.2,¡À 3.8,kJ/mol,105.9220 ¡À,,105.9220 ¡À,0.0013
,,,,,,,0.0013,,,
Oxazirinyl cation,[C(NO)]+ (g),,1565.4,1566.1,¡À 2.3,kJ/mol,42.01629 ¡À,,42.01629 ¡À,0.00086
,,,,,,,0.00086,,,
Oxazirinyl anion,[C(NO)]- (g),,448,448.8,¡À 2.4,kJ/mol,42.01739 ¡À,,42.01739 ¡À,0.00086
,,,,,,,0.00086,,,
1-Methoxyethenol,"CH2C(OH)OCH3 (g, anti-syn)",,-284.7,-304.1,¡À 1.7,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
Chloroniumyl ion,[HCl]+ (g),,1137.797,1137.731,¡À 0.0051,kJ/mol,36.46009 ¡À,,36.46009 ¡À,0.0009
,,,,,,,0.0009,,,
Oxobromonium,[BrO]+ (g),,1139.3,1131.5,¡À 1.5,kJ/mol,95.9029 ¡À,,95.9029 ¡À,0.001
,,,,,,,0.001,,,
Peroxychloric acid,HOOCl(O)O (g),,77.5,69.3,¡À 2.6,kJ/mol,100.4582 ¡À,,100.4582 ¡À,0.0015
,,,,,,,0.0015,,,
Aminomethyl anion,[CH2NH2]- (g),,209.3,199,¡À 2.1,kJ/mol,30.04975 ¡À,,30.04975 ¡À,0.00085
,,,,,,,0.00085,,,
Chloryl chloride,ClCl(O)O (g),,126.1,122.1,¡À 1.7,kJ/mol,102.9042 ¡À,,102.9042 ¡À,0.0019
,,,,,,,0.0019,,,
Ethyl formate,"HC(O)OCH2CH3 (cr,l)",,,-425.8,¡À 1.2,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
Nirous oxide anion,[NNO]- (g),,99.2,96.7,¡À 1.9,kJ/mol,44.01343 ¡À,,44.01343 ¡À,0.00033
,,,,,,,0.00033,,,
Bromine dioxide,OBrO (g),,167.1,157.5,¡À 3.0,kJ/mol,111.9028 ¡À,,111.9028 ¡À,0.0012
,,,,,,,0.0012,,,
Hydrogen fluoride,"HF (aq, 23 H2O)",,,-321.05,¡À 0.16,kJ/mol,20.006343 ¡À,,20.006343 ¡À,0.00007
,,,,,,,0.00007,,,
Methylaminilium,[CH3NH]+ (g),,1134.8,1125,¡À 2.1,kJ/mol,30.04865 ¡À,,30.04865 ¡À,0.00085
,,,,,,,0.00085,,,
Chlorine difluoride cation,[ClFF]+ (g),,1346.3,1344.9,¡À 2.1,kJ/mol,73.44896 ¡À,,73.44896 ¡À,0.0009
,,,,,,,0.0009,,,
Methanimine cation,[CH2NH]+ (g),,1056,1049.1,¡À 1.8,kJ/mol,29.04071 ¡À,,29.04071 ¡À,0.00083
,,,,,,,0.00083,,,
Propionic acid,"CH3CH2C(O)OH (g, anti)",,-415.9,-433.4,¡À 1.4,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
Hydrogen chloride,"HCl (aq, 150 H2O)",,,-165.979,¡À 0.024,kJ/mol,36.46064 ¡À,,36.46064 ¡À,0.0009
,,,,,,,0.0009,,,
Methanimine anion,[CH2NH]- (g),,224.3,217.1,¡À 2.2,kJ/mol,29.04181 ¡À,,29.04181 ¡À,0.00083
,,,,,,,0.00083,,,
Oxalic acid,(COOH)2 (g),,-710.8,-721.4,¡À 2.1,kJ/mol,90.0349 ¡À,,90.0349 ¡À,0.002
,,,,,,,0.002,,,
Aminomethyliumyl,[CHNH2]+ (g),,1039.5,1031.8,¡À 2.3,kJ/mol,29.04071 ¡À,,29.04071 ¡À,0.00083
,,,,,,,0.00083,,,
Hydrogen chloride,"HCl (aq, 1500 H2O)",,,-166.637,¡À 0.025,kJ/mol,36.46064 ¡À,,36.46064 ¡À,0.0009
,,,,,,,0.0009,,,
Cyanogen cation,[NCCN]+ (g),,1598.37,1600.59,¡À 0.44,kJ/mol,52.0343 ¡À,,52.0343 ¡À,0.0016
,,,,,,,0.0016,,,
Isocyanogen,CNCN (g),,411,413.3,¡À 1.6,kJ/mol,52.0349 ¡À,,52.0349 ¡À,0.0016
,,,,,,,0.0016,,,
Diazoethenylidene,NNCC (g),,658.7,661.3,¡À 1.8,kJ/mol,52.0349 ¡À,,52.0349 ¡À,0.0016
,,,,,,,0.0016,,,
Aminomethylene anion,[CHNH2]- (g),,353,346.1,¡À 2.3,kJ/mol,29.04181 ¡À,,29.04181 ¡À,0.00083
,,,,,,,0.00083,,,
Isocyanomethyliumylidene,[CNC]+ (g),,1615.7,1621.2,¡À 2.0,kJ/mol,38.0276 ¡À,,38.0276 ¡À,0.0016
,,,,,,,0.0016,,,
Isocyanomethylidyne anion,[CNC]- (g),,479.3,483,¡À 2.0,kJ/mol,38.0287 ¡À,,38.0287 ¡À,0.0016
,,,,,,,0.0016,,,
Cyanomethyliumylidene,[CCN]+ (g),,1719.4,1724.8,¡À 2.2,kJ/mol,38.0276 ¡À,,38.0276 ¡À,0.0016
,,,,,,,0.0016,,,
Cyanomethylidyne anion,[CCN]- (g),,410.2,413.9,¡À 2.2,kJ/mol,38.0287 ¡À,,38.0287 ¡À,0.0016
,,,,,,,0.0016,,,
"2,3-didehydro-1H-azirin-1-yl",N(CC) (g),,720.5,724.5,¡À 2.1,kJ/mol,38.0281 ¡À,,38.0281 ¡À,0.0016
,,,,,,,0.0016,,,
Fluorosyl fluoride anion,"[FFO]- (g, quartet)",,-56.6,-55.7,¡À 2.4,kJ/mol,53.99675 ¡À,,53.99675 ¡À,0.0003
,,,,,,,0.0003,,,
Cyanoaminylium,[HNCN]+ (g),,1363.2,1360.1,¡À 2.5,kJ/mol,41.03157 ¡À,,41.03157 ¡À,0.00082
,,,,,,,0.00082,,,
Cyanoamidogen anion,[HNCN]- (g),,70.8,67.8,¡À 1.4,kJ/mol,41.03267 ¡À,,41.03267 ¡À,0.00082
,,,,,,,0.00082,,,
Cyanamide,NH2CN (g),,140.8,134.5,¡À 1.5,kJ/mol,42.04006 ¡À,,42.04006 ¡À,0.00082
,,,,,,,0.00082,,,
Diazomethylene,CNN (g),,579.3,580,¡À 3.8,kJ/mol,40.02418 ¡À,,40.02418 ¡À,0.00081
,,,,,,,0.00081,,,
Trichloromethylium,[CCl3]+ (g),,854.29,852.77,¡À 0.93,kJ/mol,118.3683 ¡À,,118.3683 ¡À,0.0028
,,,,,,,0.0028,,,
Nitric acid cation,[HON(O)O]+ (g),,1029.13,1020.07,¡À 0.69,kJ/mol,63.01233 ¡À,,63.01233 ¡À,0.00091
